idx,image,exact,canonical_exact,edit_similarity,error_type,ref_len,pred_len,ref,pred,ref_canonical,pred_canonical
224,1f7e96f79f.png,0,1,85.263,canonical_equivalent,95,81,"s(z,\lambda,\mu)~=~-\,{\frac{2(\lambda\!+\!\mu)}{(1\!-\!\lambda^{2})(1\!-\!\mu^{2})}}\,j(z)~~~.","s(z,\lambda,\mu)~=~-\,\frac{2(\lambda+\mu)}{(1-\lambda^{2})(1-\mu^{2})}\,j(z)~~~.","s(z,\lambda,\mu)~=~-\frac{2(\lambda+\mu)}{(1-\lambda^{2)(1-\mu^{2)}j(z)~~~.","s(z,\lambda,\mu)~=~-\frac{2(\lambda+\mu)}{(1-\lambda^{2)(1-\mu^{2)}j(z)~~~."
225,31306b00ea.png,1,1,100.0,exact,192,192,\tilde{\Psi}_{y}=\tilde{\Psi}_{xx}+2(\alpha-1)(\tilde{\Psi}\tilde{\Psi}^{*})\Psi_{x}+2\alpha\tilde{\Psi}^{2}\tilde{\Psi}_{x}^{*}-\alpha(1+\alpha)(\tilde{\Psi}\tilde{\Psi}^{*})^{2}\tilde{\Psi}.,\tilde{\Psi}_{y}=\tilde{\Psi}_{xx}+2(\alpha-1)(\tilde{\Psi}\tilde{\Psi}^{*})\Psi_{x}+2\alpha\tilde{\Psi}^{2}\tilde{\Psi}_{x}^{*}-\alpha(1+\alpha)(\tilde{\Psi}\tilde{\Psi}^{*})^{2}\tilde{\Psi}.,\tilde\Psi_{y=\tilde\Psi_{xx+2(\alpha-1)(\tilde{\Psi}\tilde\Psi^{*)\Psi_{x+2\alpha\tilde\Psi^{2}\tilde\Psi_x^{*-\alpha(1+\alpha)(\tilde{\Psi}\tilde\Psi^{*)^{2}\tilde{\Psi}.,\tilde\Psi_{y=\tilde\Psi_{xx+2(\alpha-1)(\tilde{\Psi}\tilde\Psi^{*)\Psi_{x+2\alpha\tilde\Psi^{2}\tilde\Psi_x^{*-\alpha(1+\alpha)(\tilde{\Psi}\tilde\Psi^{*)^{2}\tilde{\Psi}.
226,33fe3185e0.png,0,0,82.734,semantic_or_token_error,139,123,"D_{\alpha}S\equiv(\mathcal{D}_{\alpha}-i\mathcal{B}_{\alpha})S,\qquad\qquadD_{\alpha}\overline{{S}}\equiv(\mathcal{D}_{\alpha}+i\mathcal{B}","D_{\alpha}S\equiv({\calD}_{\alpha}-i{\calB}_{\alpha})S,\qquad\qquadD_{\alpha}\overline{{S}}\equiv({\calD}_{\alpha}+i{\calB}","D_{\alpha}S\equiv(\mathcalD_{\alpha-i\mathcalB_{\alpha)S,D_{\alpha}\overline{{S}\equiv(\mathcalD_{\alpha+i\mathcal{B}","D_{\alpha}S\equiv(\calD_{\alpha-i\calB_{\alpha)S,D_{\alpha}\overline{{S}\equiv(\calD_{\alpha+i{\calB}"
227,46f920b7f4.png,1,1,100.0,exact,65,65,"S_{\mathrm{DW}}=-\intd^{D-1}x\sqrt{-\gamma}\sigma_{DW}e^{-a\phi},","S_{\mathrm{DW}}=-\intd^{D-1}x\sqrt{-\gamma}\sigma_{DW}e^{-a\phi},","S_\mathrm{DW=-\intd^{D-1}x\sqrt{-\gamma}\sigma_{DW}e^{-a\phi,","S_\mathrm{DW=-\intd^{D-1}x\sqrt{-\gamma}\sigma_{DW}e^{-a\phi,"
228,6c8b0e7c4b.png,1,1,100.0,exact,81,81,"\sum_{m=-\infty}^{\infty}f_{4,m}^{(8)}(\phi^{i}\phi^{j}\phi^{k}\phi^{l}T^{ijkl}),","\sum_{m=-\infty}^{\infty}f_{4,m}^{(8)}(\phi^{i}\phi^{j}\phi^{k}\phi^{l}T^{ijkl}),","\sum_{m=-\infty^{\infty}f_{4,m^{(8)}(\phi^{i}\phi^{j}\phi^{k}\phi^{l}T^{ijkl),","\sum_{m=-\infty^{\infty}f_{4,m^{(8)}(\phi^{i}\phi^{j}\phi^{k}\phi^{l}T^{ijkl),"
229,62e98b8671.png,0,0,81.395,semantic_or_token_error,128,129,"\Gamma^{(1)}\left[F\right]=\frac12\int_{0}^{\infty}\frac{\mathrm{d}t}{t}\mathrm{tr}\;\mathrm{e}^{-\frac12\left(p^{2}+F\right)t},","\Gamma^{(1)}\left[F\right]={\frac{1}{2}}\int_{0}^{\infty}{\frac{\mathrm{d}t}{t}}\mathrm{tr}\mathrm{e}^{-{\frac{1}{2}}(p^{2}+F)t},","\Gamma^{(1)}[F]=\frac12\int_0^{\infty}\frac\mathrm{d}t}{t}\mathrm{tr}\mathrme^{-\frac12(p^{2+F)t,","\Gamma^{(1)}[F]=\frac{1}{2}\int_0^{\infty}\frac\mathrm{d}t}{t}\mathrm{tr}\mathrme^{-\frac{1}{2}(p^{2+F)t,"
230,68c85358c7.png,0,1,88.889,canonical_equivalent,126,119,W_{\pm}(z)=\frac{1}{\gamma}:\left(\eta\partial_{z}\phi_{1}(z)\pmi\partial_{z}\phi_{2}(z)\right)e^{\pm2i\gamma\varphi_{2}(z)}:.,"W_{\pm}(z)=\frac{1}{\gamma}:(\eta\partial_{z}\phi_{1}(z)\pmi\partial_{z}\phi_{2}(z))\,e^{\pm2i\gamma\varphi_{2}(z)}:\,.",W_{\pm}(z)=\frac{1}{\gamma}:(\eta\partial_{z}\phi_{1}(z)\pmi\partial_{z}\phi_{2}(z))e^{\pm2i\gamma\varphi_{2}(z)}:.,W_{\pm}(z)=\frac{1}{\gamma}:(\eta\partial_{z}\phi_{1}(z)\pmi\partial_{z}\phi_{2}(z))e^{\pm2i\gamma\varphi_{2}(z)}:.
231,5a3f6c2677.png,1,1,100.0,exact,62,62,\langle\Delta\rangle\sim{\calO}(\frac{F_{\Sigma}^{2}}{M^{3}}).,\langle\Delta\rangle\sim{\calO}(\frac{F_{\Sigma}^{2}}{M^{3}}).,\langle\Delta\rangle\sim{\calO}(\frac{F_\Sigma^{2}{M^{3).,\langle\Delta\rangle\sim{\calO}(\frac{F_\Sigma^{2}{M^{3).
232,42ebab56cc.png,0,1,93.75,canonical_equivalent,60,64,"s_{i}=\frac{2}{(\alpha_{i},\alpha_{i})}\frac{1}{\beta^{2}}-1","s_{i}={\frac{2}{(\alpha_{i},\alpha_{i})}}{\frac{1}{\beta^{2}}}-1","s_{i=\frac{2}{(\alpha_{i,\alpha_{i)}\frac{1}{\beta^{2-1","s_{i=\frac{2}{(\alpha_{i,\alpha_{i)}\frac{1}{\beta^{2-1"
233,3bf6f605d3.png,0,1,89.362,canonical_equivalent,126,141,"z_{\pm}=\frac{1}{\sqrt{2}}\left[z_{1}\mpiz_{2}\right],\bar{z}_{\pm}=\frac{1}{\sqrt{2}}\left[\bar{z}_{1}\pmi\bar{z}_{2}\right].","z_{\pm}=\frac{1}{\sqrt{2}}\left[z_{1}\mpiz_{2}\right]\quad,\quad\bar{z}_{\pm}=\frac{1}{\sqrt{2}}\left[\bar{z}_{1}\pmi\bar{z}_{2}\right]\quad.","z_{\pm=\frac{1}\sqrt{2}[z_{1}\mpiz_{2],\barz_{\pm=\frac{1}\sqrt{2}[\barz_{1}\pmi\barz_{2].","z_{\pm=\frac{1}\sqrt{2}[z_{1}\mpiz_{2],\barz_{\pm=\frac{1}\sqrt{2}[\barz_{1}\pmi\barz_{2]."
234,74e02db922.png,0,0,96.875,almost_correct,192,187,"\gamma(\zeta)=\frac{(p^{2};p^{2})_{\infty}}{(p;p)_{\infty}^{2}}\frac{\Theta_{p^{2}}(q^{2})\Theta_{p^{2}}(p\zeta^{2})}{\Theta_{p^{2}}(q^{2}\zeta^{2})}\frac{g(\zeta^{2})}{\mathrm{snh}(\lambda)},","\gamma(\zeta)=\frac{(p^{2};p^{2})_{\infty}}{(p;p)_{\infty}^{2}}\frac{\Theta_{p^{2}}(q^{2})\Theta_{p^{2}}(q^{2})}{\Theta_{p^{2}}(q^{2}\zeta^{2})}\frac{g(\zeta^{2})}{\mathrm{snh}(\lambda)},","\gamma(\zeta)=\frac{(p^{2};p^{2)_{\infty}{(p;p)_\infty^{2}\frac{\Theta_{p^{2}(q^{2)\Theta_{p^{2}(p\zeta^{2)}{\Theta_{p^{2}(q^{2}\zeta^{2)}\frac{g(\zeta^{2)}\mathrm{snh}(\lambda),","\gamma(\zeta)=\frac{(p^{2};p^{2)_{\infty}{(p;p)_\infty^{2}\frac{\Theta_{p^{2}(q^{2)\Theta_{p^{2}(q^{2)}{\Theta_{p^{2}(q^{2}\zeta^{2)}\frac{g(\zeta^{2)}\mathrm{snh}(\lambda),"
235,3d40bbb012.png,0,0,93.388,semantic_or_token_error,121,115,"r\,\hat{m}_{i}\operatorname{cosh}\theta+\operatorname{ln}(1-e^{-L_{i}(\theta)})=\sum_{j}\,\,\varphi_{ij}\astL_{j}(\theta)","r\,\hat{m}_{i}\operatorname{cosh}\theta+\operatorname{ln}(1-e^{-L_{i}(\theta)})=\sum_{j}~\varphi_{ij}*L_{j}(\theta)",r\hatm_{i}\operatorname{cosh}\theta+\operatorname{ln}(1-e^{-L_{i}(\theta))=\sum_{j}\varphi_{ij}\astL_{j}(\theta),r\hatm_{i}\operatorname{cosh}\theta+\operatorname{ln}(1-e^{-L_{i}(\theta))=\sum_{j}~\varphi_{ij}*L_{j}(\theta)
236,4928a47f14.png,0,0,86.301,semantic_or_token_error,73,69,"V_{0}=\left({\begin{array}{l}{v_{1}}\{0}\{0}\{v_{4}}\\end{array}}\right),","V_{0}=\left(\begin{array}{c}{v_{1}}\{0}\{0}\{0}\\end{array}\right)\;,","V_{0=({\begin{array}{l}{v_{1}\{0}\{0}\{v_{4}\\end{array),","V_{0=(\begin{array}{c}{v_{1}\{0}\{0}\{0}\\end{array),"
237,64b4e3bd12.png,1,1,100.0,exact,71,71,\Omega(\phi)=L^{-1}(\phi)dL(\phi)=\omega_{i}T_{i}+P_{\alpha}T_{\alpha}.,\Omega(\phi)=L^{-1}(\phi)dL(\phi)=\omega_{i}T_{i}+P_{\alpha}T_{\alpha}.,\Omega(\phi)=L^{-1}(\phi)dL(\phi)=\omega_{i}T_{i+P_{\alpha}T_{\alpha}.,\Omega(\phi)=L^{-1}(\phi)dL(\phi)=\omega_{i}T_{i+P_{\alpha}T_{\alpha}.
238,41227b9f36.png,1,1,100.0,exact,121,121,"{\calL}\,=\,\frac{1}{2}g^{2}\frac{1}{2!}L_{\mu\nu}L^{\mu\nu}\,+\,\frac{1}{3!}\,g\,\theta_{\mu\nu\rho}F^{\mu\nu\rho}(L)\;,","{\calL}\,=\,\frac{1}{2}g^{2}\frac{1}{2!}L_{\mu\nu}L^{\mu\nu}\,+\,\frac{1}{3!}\,g\,\theta_{\mu\nu\rho}F^{\mu\nu\rho}(L)\;,","{\calL=\frac{1}{2}g^{2}\frac{1}{2!}L_{\mu\nu}L^{\mu\nu+\frac{1}{3!}g\theta_{\mu\nu\rho}F^{\mu\nu\rho}(L),","{\calL=\frac{1}{2}g^{2}\frac{1}{2!}L_{\mu\nu}L^{\mu\nu+\frac{1}{3!}g\theta_{\mu\nu\rho}F^{\mu\nu\rho}(L),"
239,74f7b9a82c.png,1,1,100.0,exact,56,56,"\partial_{\rho}\dot{Z}^{1}=\partial_{\sigma}\dot{Z}^{2},","\partial_{\rho}\dot{Z}^{1}=\partial_{\sigma}\dot{Z}^{2},","\partial_{\rho}\dotZ^{1=\partial_{\sigma}\dotZ^{2,","\partial_{\rho}\dotZ^{1=\partial_{\sigma}\dotZ^{2,"
240,5e8f5c9780.png,1,1,100.0,exact,32,32,"\Theta\,\equiv\,L^{-1}(X)\,dL(X)","\Theta\,\equiv\,L^{-1}(X)\,dL(X)",\Theta\equivL^{-1}(X)dL(X),\Theta\equivL^{-1}(X)dL(X)
241,6030b06354.png,0,0,78.01,semantic_or_token_error,191,187,"\deltaT_{N}^{M}=\left(\begin{array}{ccc}{0}&{0}&{0}\{0}&{-\delta\rho}&{-(\rho+p)e^{\alpha_{0}}v_{,i}}\{0}&{(\rho+p)e^{-\alpha_{0}}v_{,i}}&{\deltap\:\delta_{ij}}\\end{array}\right)\:\delta(y).",\deltaT_{N}^{M}=\left(\begin{array}{ccc}{0}&{0}&{0}\{0}&{-\delta\theta}&{-(\rho+p)e^{a_{0}}v_{i}}\{0}&{(\rho+p)e^{a_{0}v_{0}}}&{-(\rho+p)e^{a_{0}v_{0}}v_{ij}}\\end{array}\right)\delta(y).,"\deltaT_N^{M=(\begin{array}{ccc}{0}&{0}&{0}\{0}&{-\delta\rho}&{-(\rho+p)e^{\alpha_{0}v_{,i}\{0}&{(\rho+p)e^{-\alpha_{0}v_{,i}&{\deltap\delta_{ij}\\end{array)\delta(y).",\deltaT_N^{M=(\begin{array}{ccc}{0}&{0}&{0}\{0}&{-\delta\theta}&{-(\rho+p)e^{a_{0}v_{i}\{0}&{(\rho+p)e^{a_{0}v_{0}&{-(\rho+p)e^{a_{0}v_{0}v_{ij}\\end{array)\delta(y).
242,6d73310343.png,1,1,100.0,exact,110,110,"\int_{0}^{\pi/2}d\sigma\operatorname{cos}(2n-1)\sigma\operatorname{cos}(2m-1)\sigma=\frac{\pi}{4}\delta_{n,m},","\int_{0}^{\pi/2}d\sigma\operatorname{cos}(2n-1)\sigma\operatorname{cos}(2m-1)\sigma=\frac{\pi}{4}\delta_{n,m},","\int_0^{\pi/2}d\sigma\operatorname{cos}(2n-1)\sigma\operatorname{cos}(2m-1)\sigma=\frac{\pi}{4}\delta_{n,m,","\int_0^{\pi/2}d\sigma\operatorname{cos}(2n-1)\sigma\operatorname{cos}(2m-1)\sigma=\frac{\pi}{4}\delta_{n,m,"
243,5835885923.png,1,1,100.0,exact,76,76,"\Delta_{R}^{0}(\omega,p)=\frac{i}{(\omega+i\epsilon)^{2}-p^{2}-\mu_{0}^{2}}.","\Delta_{R}^{0}(\omega,p)=\frac{i}{(\omega+i\epsilon)^{2}-p^{2}-\mu_{0}^{2}}.","\Delta_R^{0}(\omega,p)=\frac{i}{(\omega+i\epsilon)^{2-p^{2-\mu_0^{2}.","\Delta_R^{0}(\omega,p)=\frac{i}{(\omega+i\epsilon)^{2-p^{2-\mu_0^{2}."
244,614ec6f146.png,1,1,100.0,exact,64,64,\Delta_{y}(e^{\frac{p+1}{2}\Omega(y)})=\frac{(p+1)(p-7)}{4(3-p)},\Delta_{y}(e^{\frac{p+1}{2}\Omega(y)})=\frac{(p+1)(p-7)}{4(3-p)},\Delta_{y}(e^\frac{p+1}{2}\Omega(y))=\frac{(p+1)(p-7)}{4(3-p)},\Delta_{y}(e^\frac{p+1}{2}\Omega(y))=\frac{(p+1)(p-7)}{4(3-p)}
245,a979bf4f9f.png,0,0,93.443,semantic_or_token_error,57,61,\delta_{X}x_{m}=-\frac12\epsilon_{X}(u\sigma_{m}\bar{u}).,\delta_{X}x_{m}=-\frac{1}{2}\epsilon_{X}(u\sigma_{m}\bar{u}).,\delta_{X}x_{m=-\frac12\epsilon_{X}(u\sigma_{m}\bar{u).,\delta_{X}x_{m=-\frac{1}{2}\epsilon_{X}(u\sigma_{m}\bar{u).
246,1e21c32e2f.png,0,1,85.542,canonical_equivalent,83,71,z_{s}=\sqrt{\frac{2}{(n+1)}}\operatorname{sin}qs\qquad\qquad\qquad\qquad1\leqs\leqn,z_{s}=\sqrt{\frac{2}{(n+1)}}\operatorname{sin}qs\qquad\qquad1\leqs\leqn,z_{s=\sqrt\frac{2}{(n+1)}\operatorname{sin}qs1\leqs\leqn,z_{s=\sqrt\frac{2}{(n+1)}\operatorname{sin}qs1\leqs\leqn
247,44d2b9d570.png,0,0,87.5,semantic_or_token_error,88,77,"3\left[\frac{a^{2}-1}{a^{2}}\right]=\left[\frac{1}{2}{\phi^{\prime}}^{2}-V(\phi)\right],","3\left[\frac{a^{2}-1}{a^{2}}\right]=\left[\frac{1}{2}\phi^{2}-V(\phi)\right],","3[\frac{a^{2-1}{a^{2]=[\frac{1}{2}{\phi^\prime^{2-V(\phi)],","3[\frac{a^{2-1}{a^{2]=[\frac{1}{2}\phi^{2-V(\phi)],"
248,2a36ebdee3.png,1,1,100.0,exact,63,63,\alpha_{s+n}^{m}\alpha_{s}^{n}-\alpha_{s}^{m}\alpha_{s+m}^{n}=0,\alpha_{s+n}^{m}\alpha_{s}^{n}-\alpha_{s}^{m}\alpha_{s+m}^{n}=0,\alpha_{s+n^{m}\alpha_s^{n-\alpha_s^{m}\alpha_{s+m^{n=0,\alpha_{s+n^{m}\alpha_s^{n-\alpha_s^{m}\alpha_{s+m^{n=0
249,5bb4b74d63.png,1,1,100.0,exact,79,79,"r=\frac{\sqrt{Q_{3}}}{l}\operatorname{sin}\left(\frac{l}{\sqrt{Q_{3}}}u\right),","r=\frac{\sqrt{Q_{3}}}{l}\operatorname{sin}\left(\frac{l}{\sqrt{Q_{3}}}u\right),","r=\frac\sqrt{Q_{3}{l}\operatorname{sin}(\frac{l}\sqrt{Q_{3}u),","r=\frac\sqrt{Q_{3}{l}\operatorname{sin}(\frac{l}\sqrt{Q_{3}u),"
250,2301477fdc.png,0,0,89.286,semantic_or_token_error,56,50,"{\frac{\delta{S}}{\delta\varphi^{i}}}{R}_{\alpha}^{i}=0,","\frac{\deltaS}{\delta\varphi^{i}}R_{\alpha}^{i}=0,","\frac{\delta{S}{\delta\varphi^{i}R_\alpha^{i=0,","\frac{\deltaS}{\delta\varphi^{i}R_\alpha^{i=0,"
251,158da11ba3.png,1,1,100.0,exact,160,160,c_{1}(y)=\frac{\operatorname{exp}5[c_{0}-a_{0}(y)]}{\left\{\frac{3}{5}(2-5\sigma^{2})+\frac{2}{5}\eta\operatorname{exp}\frac{5}{2}[c_{0}-a_{0}(y)]\right\}^{5}}.,c_{1}(y)=\frac{\operatorname{exp}5[c_{0}-a_{0}(y)]}{\left\{\frac{3}{5}(2-5\sigma^{2})+\frac{2}{5}\eta\operatorname{exp}\frac{5}{2}[c_{0}-a_{0}(y)]\right\}^{5}}.,c_{1}(y)=\frac\operatorname{exp}5[c_{0-a_{0}(y)]}{\\frac{3}{5}(2-5\sigma^{2)+\frac{2}{5}\eta\operatorname{exp}\frac{5}{2}[c_{0-a_{0}(y)]\^{5}.,c_{1}(y)=\frac\operatorname{exp}5[c_{0-a_{0}(y)]}{\\frac{3}{5}(2-5\sigma^{2)+\frac{2}{5}\eta\operatorname{exp}\frac{5}{2}[c_{0-a_{0}(y)]\^{5}.
252,4ae6075e3a.png,0,0,92.405,semantic_or_token_error,79,73,"{\calA}={\calA}_{\tiny\mathrm{CFT+CBC}}+\Lambda\intd^{2}x\Phi+\l\intdt\phi_{B},","{\calA}={\calA}_{\mathrm{CFT+CBC}}+\Lambda\intd^{2}x\Phi+l\intdt\phi_{B},","{\calA=\calA_{\tiny\mathrm{CFT+CBC+\Lambda\intd^{2}x\Phi+\l\intdt\phi_{B,","{\calA=\calA_\mathrm{CFT+CBC+\Lambda\intd^{2}x\Phi+l\intdt\phi_{B,"
253,11dbcd75fa.png,0,1,97.531,canonical_equivalent,79,81,\sigma^{p}\wedge^{K}\sigma^{q}=A^{K}(W^{K}(\sigma^{p})\wedgeW^{K}(\sigma^{q})).,"\sigma^{p}\wedge^{K}\,\sigma^{q}=A^{K}(W^{K}(\sigma^{p})\wedgeW^{K}(\sigma^{q})).",\sigma^{p}\wedge^{K}\sigma^{q=A^{K}(W^{K}(\sigma^{p)\wedgeW^{K}(\sigma^{q)).,\sigma^{p}\wedge^{K}\sigma^{q=A^{K}(W^{K}(\sigma^{p)\wedgeW^{K}(\sigma^{q)).
254,c71655fa21.png,1,1,100.0,exact,106,106,\nabla^{2}\bar{\alpha}(x)-(m_{1})^{2}\bar{\alpha}(x)+\frac{\lambda_{n}}{(n-1)!}C^{n-2}(x)\bar{\alpha}(x)=0,\nabla^{2}\bar{\alpha}(x)-(m_{1})^{2}\bar{\alpha}(x)+\frac{\lambda_{n}}{(n-1)!}C^{n-2}(x)\bar{\alpha}(x)=0,\nabla^{2}\bar{\alpha}(x)-(m_{1)^{2}\bar{\alpha}(x)+\frac{\lambda_{n}{(n-1)!}C^{n-2}(x)\bar{\alpha}(x)=0,\nabla^{2}\bar{\alpha}(x)-(m_{1)^{2}\bar{\alpha}(x)+\frac{\lambda_{n}{(n-1)!}C^{n-2}(x)\bar{\alpha}(x)=0
255,51a134354c.png,1,1,100.0,exact,42,42,S_{D}=\intd\taud\sigma({\calL}_{D}+\Gamma),S_{D}=\intd\taud\sigma({\calL}_{D}+\Gamma),S_{D=\intd\taud\sigma(\calL_{D+\Gamma),S_{D=\intd\taud\sigma(\calL_{D+\Gamma)
256,42a2ef8a18.png,0,1,90.972,canonical_equivalent,144,140,"a(t)=\left\{\begin{array}{cc}{a_{0}[1+\varepsilon\operatorname{sin}(\Omegat)],}&{\quad0\leqt\leqT}\{a_{0},}&{\quadt<0,\;t>T}\\end{array}\right.,","a(t)=\left\{\begin{array}{cc}{a_{0}[1+\varepsilon\operatorname{sin}(\Omegat)],\qquad}&{0\leqt\leqT}\{a_{0},}&{t<0,\,t>T}\\end{array}\right.,","a(t)=\{\begin{array}{cc}{a_{0}[1+\varepsilon\operatorname{sin}(\Omegat)],}&{0\leqt\leqT}\{a_{0,}&{t<0,t>T}\\end{array}.,","a(t)=\{\begin{array}{cc}{a_{0}[1+\varepsilon\operatorname{sin}(\Omegat)],}&{0\leqt\leqT}\{a_{0,}&{t<0,t>T}\\end{array}.,"
257,44edbc85d3.png,1,1,100.0,exact,86,86,(\delta_{ca}\delta_{bd}-\delta_{cd}\delta_{ba})=C_{ecb}C_{ad}^{e}-C_{e[cb}C_{a]d}^{e}.,(\delta_{ca}\delta_{bd}-\delta_{cd}\delta_{ba})=C_{ecb}C_{ad}^{e}-C_{e[cb}C_{a]d}^{e}.,(\delta_{ca}\delta_{bd-\delta_{cd}\delta_{ba)=C_{ecb}C_{ad^{e-C_{e[cb}C_{a]d^{e}.,(\delta_{ca}\delta_{bd-\delta_{cd}\delta_{ba)=C_{ecb}C_{ad^{e-C_{e[cb}C_{a]d^{e}.
258,4256bdfc53.png,0,0,93.939,semantic_or_token_error,62,66,"{\calL}=\frac12g_{ab}\frac{dx^{a}}{d\tau}\frac{dx^{b}}{d\tau},","{\calL}=\frac{1}{2}g_{ab}\frac{dx^{a}}{d\tau}\frac{dx^{b}}{d\tau},","{\calL=\frac12g_{ab}\frac{dx^{a}{d\tau}\frac{dx^{b}{d\tau,","{\calL=\frac{1}{2}g_{ab}\frac{dx^{a}{d\tau}\frac{dx^{b}{d\tau,"
259,1a1d652ed5.png,0,0,92.105,semantic_or_token_error,38,35,"J_{R}=J_{R1}+J_{R2}+J_{{\calN}/U(1)}~,","J_{R}=J_{R1}+J_{R2}+J_{\calN}/U(1),","J_{R=J_{R1+J_{R2+J_{{\calN}/U(1)}~,","J_{R=J_{R1+J_{R2+J_{\calN}/U(1),"
260,72cfb992b4.png,1,1,100.0,exact,52,52,"\phi=\frac{1}{2}\phi_{o}[1-tanh(\frac{\rho-R}{dx})],","\phi=\frac{1}{2}\phi_{o}[1-tanh(\frac{\rho-R}{dx})],","\phi=\frac{1}{2}\phi_{o}[1-tanh(\frac{\rho-R}{dx)],","\phi=\frac{1}{2}\phi_{o}[1-tanh(\frac{\rho-R}{dx)],"
261,5946dd658c.png,0,0,97.581,almost_correct,121,124,"g(x,y;s)\;=\;\sum_{\gamma\in\Gamma}\operatorname{exp}(-s\,\rho(x,\gammay))\;\;\;\;\;\;(x,y\in{\bfH}^{d+1},\;\;s\in{\bfR})","g(x,y;s)\;=\;\sum_{\gamma\in\Gamma}\operatorname{exp}(-s\,\rho(x,\gammay))\;\;\;\;\;\;\;(x,y)\in{\bfH}^{d+1},\;\;s\in{\bfR})","g(x,y;s)=\sum_{\gamma\in\Gamma}\operatorname{exp}(-s\rho(x,\gammay))(x,y\in\bfH^{d+1,s\in{\bfR)","g(x,y;s)=\sum_{\gamma\in\Gamma}\operatorname{exp}(-s\rho(x,\gammay))(x,y)\in\bfH^{d+1,s\in{\bfR)"
262,75d9312c93.png,1,1,100.0,exact,75,75,\Lambda_{c}=\frac{l_{p}^{-2}}{N_{w}8e\pi}=\tilde{c}\frac{1}{N_{w}l_{p}^{2}},\Lambda_{c}=\frac{l_{p}^{-2}}{N_{w}8e\pi}=\tilde{c}\frac{1}{N_{w}l_{p}^{2}},\Lambda_{c=\frac{l_p^{-2}{N_{w}8e\pi=\tilde{c}\frac{1}{N_{w}l_p^{2},\Lambda_{c=\frac{l_p^{-2}{N_{w}8e\pi=\tilde{c}\frac{1}{N_{w}l_p^{2}
263,200adda616.png,1,1,100.0,exact,81,81,"\Omega\equivD(R,u_{E})=\left(\begin{array}{ll}{1}&{0}\{0}&{R}\\end{array}\right).","\Omega\equivD(R,u_{E})=\left(\begin{array}{ll}{1}&{0}\{0}&{R}\\end{array}\right).","\Omega\equivD(R,u_{E)=(\begin{array}{ll}{1}&{0}\{0}&{R}\\end{array).","\Omega\equivD(R,u_{E)=(\begin{array}{ll}{1}&{0}\{0}&{R}\\end{array)."
264,68a6d2e216.png,0,0,98.182,almost_correct,55,54,\mathrm{M-theory}\quad:\qquadS^{3}\to0\toS^{3}/\sigma~.,\mathrm{M-theory}\quad:\qquadS^{3}\to0\toS^{3}/\sigma.,\mathrm{M-theory}:S^{3}\rightarrow0\rightarrowS^{3}/\sigma~.,\mathrm{M-theory}:S^{3}\rightarrow0\rightarrowS^{3}/\sigma.
265,302a9ae6a0.png,1,1,100.0,exact,45,45,D_{t}\phi_{j}=\partial_{t}\phi_{j}+iA\phi_{j},D_{t}\phi_{j}=\partial_{t}\phi_{j}+iA\phi_{j},D_{t}\phi_{j=\partial_{t}\phi_{j+iA\phi_{j},D_{t}\phi_{j=\partial_{t}\phi_{j+iA\phi_{j}
266,316ae68e96.png,0,0,77.778,semantic_or_token_error,72,68,w_{1}(\tau)=P^{-1}w_{1}(\tau)P~;~~~~~~~~~~~~~~w_{0}(x)=Q^{-1}w_{0}(x)Q~.,w_{1}(\tau)=P^{-1}w_{1}(\tau)P;\qquad\qquadw_{0}(x)=Q^{-1}w_{0}(x)Q.,w_{1}(\tau)=P^{-1}w_{1}(\tau)P~;~~~~~~~~~~~~~~w_{0}(x)=Q^{-1}w_{0}(x)Q~.,w_{1}(\tau)=P^{-1}w_{1}(\tau)P;w_{0}(x)=Q^{-1}w_{0}(x)Q.
267,48c657da68.png,0,0,92.079,semantic_or_token_error,101,100,"\left[\hat{b}_{n},\hat{b}_{m}^{\dag}\right]=\delta_{nm}\,\,\,;\left[\hat{b}_{n},\hat{b}_{m}\right]=0.","\left[\hat{b}_{n},\hat{b}_{m}^{\dagger}\right]=\delta_{nm}\;;\left[\hat{b}_{n},\hat{b}_{m}\right]=0.","[\hatb_{n,\hatb_m^{\dag]=\delta_{nm};[\hatb_{n,\hatb_{m]=0.","[\hatb_{n,\hatb_m^{\dagger]=\delta_{nm};[\hatb_{n,\hatb_{m]=0."
268,55e22adb53.png,0,0,74.074,semantic_or_token_error,27,21,"\lbrackX,Y]=-i\ell_{B}^{2}.","[X,Y]=-i\ell_{B}^{2}.","\lbrackX,Y]=-i\ell_B^{2}.","[X,Y]=-i\ell_B^{2}."
