formula,image,formula_len_chars,formula_len_tokens_rough,image_width,image_height,aspect_ratio
\pi ( u ) = \frac { e ^ { - \frac { 1 } { 2 } \sigma ( 2 k - 1 ) } } { e ^ { \frac { \sigma } { 2 } } - e ^ { - \frac { \sigma } { 2 } } },1ed7bf6c36.png,138,53,160,64,2.5
"\{ J _ { l } ^ { a } ( x ) , u ( y ) \} = i t ^ { a } u ( y ) \delta ( x - y )",4b151cb96a.png,78,36,256,32,8.0
\sum _ { k } \to V \int \frac { d ^ { 3 } k } { ( 2 \pi ) ^ { 3 } } \nonumber,67a907d29b.png,77,28,128,64,2.0
\left( \begin{array} { c } { u _ { n } ^ { 1 } ( y ) } \\ { u _ { n } ^ { 2 } ( y ) } \\ \end{array} \right) \propto \left( \begin{array} { c } { \operatorname { c o s } \left( \mu _ { n } y \right) + \frac { m _ { - } } { \mu _ { n } } \operatorname { s i n } \left( \mu _ { n } y \right) } \\ { \frac { M _ { n } - m _ { + } } { \mu _ { n } } \operatorname { s i n } \left( \mu _ { n } y \right) } \\ \end{array} \right),5cc90cd04d.png,422,130,320,64,5.0
"\hspace { 1 5 p t } i \mathrm { t r } ( e _ { i } [ e _ { j } , e _ { k } ] ) = - i \mathrm { t r } ( \bar { e } _ { i } [ \bar { e } _ { j } , \bar { e } _ { k } ] ) = \partial _ { i } B _ { j k } + \partial _ { j } B _ { k i } + \partial _ { k } B _ { i j } .",484690531a.png,261,107,480,32,15.0
"X ^ { r } = \sum _ { J = 1 , J \not = k } ^ { r - 1 } \lambda _ { J } X ^ { J } + \mu X ^ { k } \ ,",2603e7c650.png,99,43,224,64,3.5
"\phi ( x ) \equiv { \frac { \delta W ( J ) } { \delta J ( x ) } } = < 0 | \varphi | 0 > ,",7cc4e685b0.png,89,31,224,64,3.5
"\Omega _ { 0 } ^ { 6 } \alpha _ { 0 } ^ { 4 } = 4 \operatorname { c o s } ^ { 4 } \theta + 4 A ( y , \bar { y } ) \operatorname { s i n } ^ { 4 } \theta",29a6569ddd.png,152,53,256,32,8.0
"{ \cal T } | n _ { 1 } , \ldots , n _ { b } , 1 / 2 \rangle = ( - ) ^ { b } | n _ { b } , \ldots , n _ { 1 } , 1 / 2 \rangle + r e s t .",6d1534e7e6.png,136,56,384,32,12.0
"d s ^ { 2 } = { \frac { 4 R ^ { 4 } } { ( r ^ { 2 } + R ^ { 2 } ) ^ { 2 } } } ( d r ^ { 2 } + r ^ { 2 } d \theta ^ { 2 } ) ,",5c41d89e47.png,124,58,224,64,3.5
"\mathrm { ~ \frac { 1 } { 2 } ~ } ( S _ { m } , S _ { m } ) ^ { a } - V _ { m } ^ { a } S = i \hbar \Delta ^ { a } S _ { m } \qquad \Longleftrightarrow \qquad \bar { \Delta } _ { m } ^ { a } \, \mathrm { e x p } \{ ( i / \hbar ) S _ { m } \} = 0 ,",531a6173ee.png,247,90,480,32,15.0
\omega _ { \rho } ^ { ( 1 ) } = - 1 9 2 { \frac { a ^ { 7 } \rho ^ { 2 } d a } { ( \rho ^ { 2 } + a ^ { 2 } ) ^ { 5 } } },641f2ec2d3.png,121,52,192,64,3.0
"\Omega _ { \partial _ { k } , \bar { \partial } _ { k } ^ { * } } ^ { \, ^ { \bullet , \bullet } } ( { \mathcal A } ) \ = \ \displaystyle \bigoplus _ { p , q } \, O m e g a _ { \partial _ { k } , \bar { \partial } _ { k } ^ { * } } ^ { \ p , q } ( { \mathcal A } ) \ ,",72094042a4.png,268,91,256,64,4.0
"B ( e _ { a } , e _ { b } ) = \frac { e _ { b } } { e _ { a } } [ e _ { b } + 1 / e _ { a } - \epsilon ] [ 1 / e _ { b } + 1 / e _ { a } - \epsilon ] .",4bbadf72b8.png,151,67,384,64,6.0
Z ( H M ) \; \equiv \; [ - 9 H M + \sqrt { 3 ( - 1 + 2 7 H ^ { 2 } M ^ { 2 } ) } \; ] ^ { \frac { 1 } { 3 } } .,7bced73aca.png,111,48,384,64,6.0
d s ^ { 2 } = - d \tau ^ { 2 } + \frac { a ( \tau ) ^ { 2 } } { ( 1 + \mathrm { ~ \frac { 1 } { 4 } ~ } k r ^ { 2 } ) ^ { 2 } } \left[ d r ^ { 2 } + r ^ { 2 } d \Omega ^ { 2 } \right],49a3e659f5.png,183,74,320,64,5.0
2 | q _ { j } | ^ { 2 } - | q _ { j - 1 } | ^ { 2 } - | q _ { j + 1 } | ^ { 2 } = { \frac { 3 6 } { \mu ^ { 2 } } } \left( 1 - { \frac { A } { | q _ { j } | ^ { 2 } } } \right),26ac1598c0.png,176,78,320,64,5.0
H _ { 1 } ^ { \prime } = \pi _ { 0 } ; _ { } { } _ { } H _ { 2 } ^ { \prime } = p _ { 0 } - \partial ^ { k } \pi _ { k },11b412637f.png,120,50,192,32,6.0
"\hat { T } = \sum _ { \{ \Delta _ { 0 } S _ { \gamma } \} } \prod _ { p \in \Delta _ { 0 } S _ { \gamma } } \hat { W } _ { p } ^ { n _ { p } } \operatorname { e x p } { [ \, - \frac { 1 } { 2 \beta _ { 0 } } \sum _ { \ell } \hat { E } _ { \ell } ^ { 2 } - \frac { 1 } { 2 \beta _ { s } } \sum _ { p _ { s } \in ( S _ { t + a _ { 0 } } - S _ { t } ) } n _ { p } ^ { 2 } \, ] \, } ,",4ec3f79cab.png,380,148,480,64,7.5
"\delta _ { \mathrm { L o r e n t z } } ^ { ( \lambda ) } \Phi = \frac 1 2 \lambda _ { m n } \Omega ^ { m n } \Phi \, , \quad \Phi = \mathrm { a n y ~ f i e l d } \, ,",30a5f43dcd.png,166,57,320,64,5.0
"[ X _ { i } , X _ { j } ] = i { \frac { \mu } { 3 } } \epsilon _ { i j k } X _ { k }",595adb7554.png,84,36,160,64,2.5
"H _ { 2 } [ \vec { n } ] = \frac { \epsilon ^ { \mu \nu \lambda } } { 2 4 \pi ^ { 2 } } \int d ^ { 3 } x \, \mathrm { t r } ( U ^ { - 1 } \partial _ { \mu } U ) \, ( U ^ { - 1 } \partial _ { \nu } U ) \, ( U ^ { - 1 } \partial _ { \lambda } U ) .",4cb6c3491f.png,246,89,384,64,6.0
"{ \cal A } = \sum _ { h \geq 0 } N ^ { 2 - 2 h } \, A _ { h } ( g ) \, ,",5f47615db2.png,72,31,160,64,2.5
"g = \lambda ^ { 2 } ( z ) d t ^ { 2 } - \lambda ^ { 2 } ( z ) d z ^ { 2 } - R ^ { 2 } ( z ) d \Omega ^ { 2 } , \qquad e ^ { - 2 \phi } = e ^ { - 2 \phi ( z ) } .",4480425bc4.png,161,67,480,32,15.0
"\overline { { V } } _ { j } ^ { ( N - 1 ) } = \frac { 1 } { ( N - 1 ) ! } \left( \prod _ { i \neq j } ^ { } m _ { i } \right) \sqrt { D _ { j j } ^ { ( N - 1 ) } } \; \; ,",412fa5d666.png,171,68,320,64,5.0
"\hat { H } _ { 0 } = \hbar g \omega \left[ { \alpha _ { i } ^ { a } } ^ { \dagger } \alpha _ { i } ^ { a } + \frac { 1 } { 2 } 2 d \right] = \hbar g \omega \left[ \hat { N } + d \right] \ \ , \ \ \hat { \phi } = i \hbar \epsilon ^ { a b } { \alpha _ { i } ^ { a } } ^ { \dagger } \alpha _ { i } ^ { b } \ \ .",30760d9ed7.png,308,105,480,64,7.5
"E ^ { + + } \equiv \Pi ^ { \underline { m } } u _ { \underline { m } } ^ { + + } = e ^ { + + } ,",5a23d22915.png,96,36,192,32,6.0
"\mathrm { t r } \left[ Q \, \Gamma ^ { , \rho } \Gamma ^ { , \sigma } \right] = - 4 k ^ { \rho } k ^ { \sigma } t ^ { 2 } \xi ^ { - 2 } - \frac { 2 } { k ^ { 2 } } P ^ { \rho \sigma } \left[ \operatorname { c o s h } \left( k ^ { 2 } ( - 1 + \xi ^ { - 1 } ) t \right) - 1 \right]",7c9be081db.png,279,93,480,64,7.5
"\left[ Z _ { \pm } = 1 \right] _ { ^ { _ { _ { \delta = 0 } } } } \ \ \longrightarrow \, \left[ Z _ { + } = \frac { 3 } { 2 } , \ Z _ { - } = \frac { 2 } { 3 } \right] _ { _ { \delta = 1 } } .",4a19c919af.png,192,68,320,64,5.0
"L [ \bar { \psi } , \psi , \phi ] = \bar { \psi } ( i \! \not \! \partial - m ) \psi - i g \bar { \psi } \gamma _ { 5 } \psi \phi + L _ { 0 } [ \phi ]",c20cedff3b.png,150,49,384,32,12.0
"{ C _ { g } } ^ { i _ { 1 } . . . i _ { n } } = { { C _ { g _ { 1 } } } ^ { i _ { 1 } . . . i _ { k } } } _ { j } { C _ { g _ { 2 } } } ^ { j \, i _ { k \! + \! 1 } . . . i _ { n } } = \sum _ { j } { { C _ { g \! - \! 1 } } ^ { i _ { 1 } . . . i _ { n } j } } _ { j }",18f3c3036c.png,267,130,384,64,6.0
"G _ { - r } \gamma _ { - r } = G _ { - r } ^ { j } \gamma _ { - r , j } - G _ { - r } ^ { k } \gamma _ { - r , k } ,",31bafdf6b8.png,116,51,256,32,8.0
"\pi _ { \alpha } = \frac { \partial \mathcal { L } } { \partial ( \partial _ { 0 } f _ { \alpha } ) } = - \frac { 1 } { 2 m } \epsilon _ { 0 \alpha \rho } f ^ { \rho } ,",4a7ee76c4c.png,169,52,224,64,3.5
q _ { i } = { \bar { q } } + \frac { 1 } { n } \sum _ { j } q _ { i j } .,45545a3b52.png,73,32,128,64,2.0
"F ( \xi ) = a \xi ^ { 3 } \ \ \ , \ \ \ a > 0 \ \ \ .",20f362eeee.png,53,25,192,32,6.0
\frac { 1 } { 2 } \widehat { \chi } _ { p } \left( \tau \right) \left( \widehat { \chi } _ { p } \left( \frac { \tau } { 2 } \right) - \widehat { \chi } _ { p } \left( \frac { \tau + 1 } { 2 } \right) \right),6abc45a9cb.png,208,57,256,64,4.0
"\phi _ { j j } ( z , \theta ) = e ^ { i j { \bf X } _ { 1 } ( z , \theta ) }",74dbefd2fb.png,76,31,160,32,5.0
"d s _ { [ 2 ] } ^ { 2 } = g _ { 2 } ( u , \lambda ) d u ^ { 2 } + g _ { 3 } ( u , \lambda ) d \lambda ^ { 2 }",4880209d2c.png,109,46,256,32,8.0
C _ { \mathrm { a t a l a n } } = \sum _ { k = 0 } ^ { \infty } \frac { ( - 1 ) ^ { k } } { ( 2 k + 1 ) ^ { 2 } },6354054948.png,113,48,192,64,3.0
"[ \, \hat { \varphi } _ { m } - \frac { i \pi } { k m } \hat { \pi } _ { m } , \hat { \pi } _ { n } \, ] = \frac { i } { 2 \pi } \delta _ { m + n , 0 } - \frac { i \pi } { k m } \, \frac { k m } { 2 \pi ^ { 2 } } \, \delta _ { m + n , 0 } = 0",65b77388ee.png,242,93,384,64,6.0
D \left( \frac { \delta _ { 2 } } { \gamma g } \right) = \frac { \delta _ { 1 } } { \gamma g } .,716b655afe.png,96,29,128,64,2.0
\int _ { - \infty } ^ { \infty } e ^ { - 2 \sigma ( y ) } d y = \mu + 2 \xi .,235b5f8d50.png,77,28,192,64,3.0
"\omega _ { L } \sim \sqrt [ [object Object] ] { g _ { s } L } { \frac { 1 } { N l _ { s } } } ~ ,",296266f848.png,97,35,128,64,2.0
"\, - \, \frac { 1 } { 3 ! } \int d ^ { 3 } x _ { 1 } d ^ { 3 } x _ { 2 } d ^ { 3 } x _ { 3 } { \mathcal W } _ { \mu _ { 1 } \mu _ { 2 } \mu _ { 3 } } ^ { ( 3 ) } ( x _ { 1 } , x _ { 2 } , x _ { 3 } ) b _ { \mu _ { 1 } } ( x _ { 1 } ) b _ { \mu _ { 2 } } ( x _ { 2 } ) b _ { \mu _ { 3 } } ( x _ { 3 } ) \, + \, \ldots",5f8e504433.png,316,141,480,64,7.5
< x _ { f } \vert \operatorname { e x p } ( - H T ) \vert x _ { i } > = N ( T ) \int [ d x ] \ \operatorname { e x p } - S _ { e } [ x ( \tau ) ],4e66c09bc6.png,145,54,384,64,6.0
"h _ { 3 } H + \frac { r } { 3 - p } ( h _ { 3 } H ^ { \prime } - h _ { 3 } ^ { \prime } H ) = h _ { 1 } h _ { 2 } \, .",79a5f00111.png,118,52,256,64,4.0
"\sigma ( A ) = \sigma ( x , \xi ) = \sum _ { | \alpha | \leq m } a _ { \alpha } ( x ) { \xi } ^ { \alpha } \, .",5067d64a05.png,111,38,256,64,4.0
{ \frac { 1 } { \sqrt { n _ { R } } } } \sum _ { i } | e _ { i } \rangle \otimes | e _ { i } ^ { * } \rangle ~ .,79afcfc174.png,112,42,160,64,2.5
R = \left( \begin{array} { l l l l } { q } & { } & { } & { } \\ \end{array} \right),39c7af5406.png,83,25,384,96,4.0
"\gamma _ { m } ^ { \mathrm { v a r } } ( \alpha ) \stackrel { \alpha \to \infty } { \longrightarrow } \frac { 1 } { 4 } \, \sqrt { 6 \pi \alpha } - \frac { 1 } { 2 } + { \cal O } \left( \frac { 1 } { \sqrt { \alpha } } \right) .",55d15b6c14.png,228,66,320,64,5.0
"( t , r , \varphi , Z ) \sim ( t , r , \varphi + 2 \pi \alpha , Z + 2 \pi \kappa ) ,",2687747447.png,84,28,320,32,10.0
"P _ { I } ^ { 1 } = P _ { I } ^ { 2 } = 0 \, , \quad P _ { I } ^ { 3 } =",5cb1e39fe8.png,72,34,192,32,6.0
\dot { Q } = { \frac { c ( \vec { \lambda } ) - 2 5 } { 3 } } - Q ^ { 2 } .,54369ed1af.png,75,30,160,64,2.5
\zeta _ { \cal G } ( s ) = \sum _ { n } \sum _ { j = - \infty } ^ { \infty } \left[ ( a j + i \mu ) ^ { 2 } + \varepsilon ^ { 2 } \right] ^ { - s },6f7b2bf1a9.png,147,51,320,64,5.0
J _ { \mu } ^ { i } = \sigma \eta _ { \mu \nu } ^ { i } E _ { \nu },12653fe6f1.png,67,26,128,32,4.0
"\omega ( X _ { u } ) = C ^ { - 1 } \Pi ^ { \mathrm { v e r t i c a l } } ( X _ { u } ) = \frac { 1 } { C ^ { \dagger } C } C ^ { \dagger } , \, X _ { u } \in T _ { u } P .",6e81733595.png,171,70,384,64,6.0
"\prod _ { n = 1 } ^ { \infty } ( 1 - x ^ { n } ) ( 1 + x ^ { n - 1 / 2 } y ) ( 1 + x ^ { n - 1 / 2 } y ^ { - 1 } ) = \sum _ { - \infty } ^ { \infty } x ^ { \frac { 1 } { 2 } n ^ { 2 } } y ^ { n } ,",88c4ca193d.png,197,86,480,64,7.5
"D _ { \mu } \Phi = \partial _ { \mu } - i e [ A _ { \mu } , \Phi ]",289e7f3e3d.png,66,24,160,32,5.0
"\phi - \phi _ { 0 } = \mp 3 \sqrt { \frac { 2 } { | q | } - \frac { \Lambda } { 4 } } \ T ,",2ed4278e85.png,91,33,192,64,3.0
"{ \cal F } ( \nu \, ; \, z ) = \frac { z ^ { \nu } } { \nu } \, F ( 1 , \nu ; 1 + \nu ; z ) = \sum _ { n = 0 } ^ { \infty } \frac { 1 } { n + \nu } z ^ { n + \nu } ~ ,",709712d9d6.png,167,66,384,64,6.0
"c _ { i j } ^ { k } ( x ) c _ { k m } ^ { l } ( x ) = c _ { j m } ^ { k } ( x ) c _ { i k } ^ { l } ( x ) ,",1e8f272b56.png,107,54,224,32,7.0
"S = \frac { 1 } { \sqrt { 2 } } ( S ^ { 1 } + i S ^ { 2 } ) , \quad \bar { S } = \frac { 1 } { \sqrt { 2 } } ( S ^ { 1 } - i S ^ { 2 } ) .",7a5cfe5704.png,138,58,320,64,5.0
"D _ { i k } = \sum _ { j = 0 } ^ { n - 1 } \frac { 1 } { c _ { j } } t _ { j } ( x _ { k } ) t _ { j } ^ { \prime } ( x _ { i } ) ,",1a7d743779.png,131,60,192,64,3.0
"T _ { c } ^ { ( 1 ) } = T ^ { ( 1 ) } \backslash c \, ,",58eff7c4b0.png,55,23,128,32,4.0
"\Pi _ { n } + \lambda \Pi _ { n + 1 } + g \Pi _ { n + 2 } = \sum _ { i = 0 } ^ { n - 2 } \Pi _ { i } \Pi _ { n - i - 2 } , \qquad n > 2 .",6e9430a2bd.png,137,57,384,64,6.0
U _ { D 0 - \bar { D 0 } } = - \frac { 1 5 \kappa ^ { 2 } E ^ { 3 } ( e _ { 1 } e _ { 4 } ) ( e _ { 2 } e _ { 3 } ) } { 2 ( 2 \pi ) ^ { 5 } r ^ { 7 } },2d013140cc.png,151,69,256,64,4.0
"( - 1 ) ^ { \varepsilon _ { A } } ( S _ { A } , S _ { B } ) = f _ { A B } ^ { D } S _ { D } + ( S , S _ { A B } )",2457bd86f9.png,113,52,320,32,10.0
2 U ( \tilde { a } ) \equiv ( \tilde { a } - { \tilde { \gamma } } ) ^ { 2 } - \tilde { \mu } { \tilde { a } } ^ { 4 } - { \tilde { \beta } } ^ { 2 } .,79ccbc6943.png,151,53,224,32,7.0
"g = \left( \begin{array} { c c } { 1 } & { X } \\ { 0 } & { 1 } \\ \end{array} \right) \left( \begin{array} { c c } { \operatorname { e x p } ( \frac 1 2 \Phi ) } & { 0 } \\ { 0 } & { \operatorname { e x p } ( - \frac 1 2 \Phi ) } \\ \end{array} \right) \left( \begin{array} { c c } { 1 } & { 0 } \\ { Y } & { 1 } \\ \end{array} \right) \, ,",11f3d76443.png,341,99,384,96,4.0
"\sum _ { k } B _ { k } ( \{ s _ { i } \} , \{ m _ { s } ^ { 2 } \} , d ) I ^ { ( d - k ) } ( \{ s _ { i } \} , \{ m _ { s } ^ { 2 } \} ) = I _ { 0 } ( \{ s _ { i } \} , \{ m _ { s } ^ { 2 } \} , d ) ,",7a24105222.png,200,93,480,64,7.5
\left( \begin{array} { l } { X ^ { I } } \\ { F _ { I } } \\ \end{array} \right) \rightarrow \left( \begin{array} { l l } { { \bf a } } & { { \bf b } } \\ { { \bf c } } & { { \bf d } } \\ \end{array} \right) \left( \begin{array} { l } { X ^ { I } } \\ { F _ { I } } \\ \end{array} \right),2ce339fa65.png,288,83,192,64,3.0
"H _ { k , k + 1 } = \left. \frac { d } { d u } { \cal P } _ { k , k + 1 } R _ { k , k + 1 } ( u ) \right| _ { u = 0 } ,",1d4ab21f58.png,119,51,256,64,4.0
"( { \bf a b } ) = a b \operatorname { c o s } { \theta } ~ ,",523e387538.png,60,21,128,32,4.0
"T _ { \rho \mu } ^ { s } : = - t r \big ( { \frac { 1 } { 2 } } \{ F _ { \rho \nu } , F _ { \mu } ^ { \ \nu } \} - { \frac { 1 } { 4 } } g _ { \rho \mu } F ^ { 2 } \big ) .",568c58e2f4.png,172,69,320,64,5.0
"S _ { \mathrm { D 6 } } = - T _ { \mathrm { K K 1 1 } } \int d ^ { 7 } \hat { \xi } e ^ { - \hat { \phi } } \sqrt { | \mathrm { d e t } \ ( \hat { g } _ { \hat { \imath } \hat { \jmath } } + { \hat { \cal F } } _ { \hat { \imath } \hat { \jmath } } ) | } + \mathrm { W Z } \, ,",7648f19fbe.png,277,97,384,64,6.0
M _ { 1 } \dots M _ { n } M _ { n + 1 } \dots M _ { n + 2 g } = I .,3a7c9ea272.png,67,30,224,32,7.0
\operatorname* { l i m } _ { \epsilon \to + 0 } \left[ K _ { \mu \nu } \right] _ { x ^ { \perp } = - \epsilon } ^ { x ^ { \perp } = \epsilon } = \left. \frac { 1 } { m _ { d } ^ { d - 1 } } \left( T _ { \mu \nu } - \frac { 1 } { d - 1 } g _ { \mu \nu } g ^ { \alpha \beta } T _ { \alpha \beta } \right) \right| _ { x ^ { \perp } = 0 },c4fd758d75.png,334,108,480,64,7.5
"\chi _ { p } \left( \tau , z , u \right) ~ = ~ e ^ { - 2 i \pi u } \ \mathrm { T r } \ [ e ^ { 2 i \pi z J _ { 0 } } \ e ^ { 2 i \pi \tau ( L _ { 0 } - { \frac { c } { 2 4 } } ) } ]",2460f766b2.png,181,73,320,32,10.0
M ^ { \mu \nu } = M _ { 0 } ^ { \mu \nu } = - e ^ { 2 } \bar { u } \gamma ^ { \mu } \frac { 1 } { i \gamma \cdot ( p + q ) + m } \gamma ^ { \nu } u + \mathrm { c r o s s e d ~ t e r m },403e77681f.png,185,71,480,64,7.5
"V ^ { c } ( p ) = - \int _ { q k } 4 w ( p + q ) w ( k - { \frac { q } { 2 } } ) S _ { R R } ( p + q ) R ( k , q ) ,",364760b0a4.png,116,55,384,64,6.0
"\phi ( t ; \Theta , \bar { \Theta } ) = q ( t ) + i \bar { \Theta } \psi ( t ) + i \Theta \bar { \psi } ( t ) + \Theta \bar { \Theta } A ( t ) ,",7f4ba05837.png,144,47,384,32,12.0
B o b : \quad m \frac { d \mathbf { u } } { d t } = k \frac { q q ^ { \prime } \mathbf { r } } { r ^ { 3 } } \qquad \qquad,1b82f2aace.png,122,42,192,64,3.0
"\prod _ { a = 1 } ^ { N } \overline { { \psi } } _ { \alpha } ^ { ( a ) } ( x ^ { ( \pi ( a ) ) } ) = \mathrm { s i g n } ( \pi ^ { - 1 } ) \prod _ { a = 1 } ^ { N } \overline { { \psi } } _ { \alpha } ^ { ( \pi ^ { - 1 } ( a ) ) } ( x ^ { ( a ) } ) \; ,",94309212f0.png,254,101,384,64,6.0
"\Lambda _ { 4 1 } = - \Lambda _ { 2 3 } = k _ { 1 } \bigg ( 1 - \frac { 1 2 \alpha k _ { \pm } ^ { 2 } } { M ^ { 2 } } \bigg ) ,",6de40c415a.png,128,49,256,64,4.0
E _ { \alpha } ^ { ~ \underline { a } } \left( Z ( z ) \right) = 0 .,459341e2d0.png,68,22,128,32,4.0
"m _ { c } = \frac { 1 } { c } ( a ~ N _ { c } - 1 ) \, \, \, \, \,",537718b3b7.png,66,29,160,64,2.5
\partial \hat { d } = ( \hat { b } \hat { c } ) ^ { - 1 } ( q ^ { 3 } \hat { d } ^ { 2 } - \frac { 1 } { q } D ^ { 2 } ) \partial \hat { a } .,2934b275b8.png,142,55,224,64,3.5
V ( | z | ) = \left( \frac { b } { 6 } \right) ^ { 2 } \frac { | z | ^ { 4 } } { ( 1 - | z | ^ { 2 } ) ^ { 2 } } \left\{ 3 \left( \operatorname { l o g } \left| \frac { z } { z _ { t r } } \right| ^ { 3 } \right) ^ { 2 } + C _ { 2 } | z | ^ { 2 } \right\} .,4b5fa65595.png,257,94,480,64,7.5
\left( \frac { d x } { d \lambda } \right) _ { \lambda ^ { \star } } ^ { 2 } + ( t + x ) ^ { 2 } ( \lambda ^ { \star } ) \left( \frac { d y } { d \lambda } \right) _ { \lambda ^ { \star } } ^ { 2 } \leq 0 ~ .,6e22a607d2.png,208,67,320,64,5.0
{ \cal L } = - \frac { 1 } { 4 } F _ { \mu \nu } F ^ { \mu \nu } + \frac { 1 } { 2 } ( \partial _ { \mu } \phi ) ^ { 2 } + e ( g ^ { \mu \nu } - \epsilon ^ { \mu \nu } ) ( \partial _ { \mu } \phi ) A _ { \nu } + \frac { 1 } { 2 } e ^ { 2 } \alpha A _ { \mu } ^ { 2 },1b3c17d03e.png,266,98,480,64,7.5
"( h \otimes W ) \cdot ( h ^ { \prime } \otimes W ^ { \prime } ) = ( - 1 ) ^ { \vert W \vert \vert h ^ { \prime } \vert } ( h h ^ { \prime } ) \otimes ( W W ^ { \prime } ) ,",3179062b40.png,172,55,384,32,12.0
"\alpha = m ^ { 2 } \frac { \pi \nu } { \operatorname { s i n } \pi \nu } \, .",497da9fad0.png,77,24,128,64,2.0
S ^ { \prime } [ \varphi ] = { \frac { i } { 2 } } G ^ { - 1 } \varphi ^ { 2 } + S _ { Q } [ \varphi ],bcbe5a7181.png,102,38,192,64,3.0
N = 6 : \quad A = { \frac { 1 } { 3 } } \left( \begin{array} { l l l } { - 1 } & { 1 } & { 2 } \\ { 2 } & { 1 } & { 0 } \\ { 3 } & { { \frac { 3 } { 2 } } } & { 0 } \\ \end{array} \right) ; \quad B = { \frac { 1 } { 3 } } \left( \begin{array} { l l l } { 1 } & { 2 } & { 0 } \\ { 1 } & { - 1 } & { 2 } \\ { { \frac { 3 } { 2 } } } & { 3 } & { 0 } \\ \end{array} \right),35255d8c03.png,369,137,480,128,3.75
"\hat { f } ^ { \dagger } \hat { f } = - ( \hat { f } + \hat { f } ^ { \dagger } ) ,",9074544c96.png,83,30,160,32,5.0
"\varepsilon ( \lambda ^ { A } ) = \varepsilon _ { A } , \; \; \mathrm { g h } ( \lambda ^ { A } ) = \mathrm { g h } ( \phi ^ { A } )",6acc228b50.png,132,42,224,32,7.0
\langle T _ { \mu } ^ { \mu } ( x ) \rangle _ { R e n . } = \frac { \eta ^ { 2 } } { 7 2 0 \pi ^ { 2 } r ^ { 4 } } + \frac { q ^ { 2 } } { 9 6 \pi ^ { 2 } r ^ { 4 } } \ .,7be2298338.png,170,70,256,64,4.0
L = { \frac { 1 } { 2 { f } ^ { 2 } } } { ( \partial _ { \mu } { \underline { n } } ) } ^ { 2 } + { \theta } { { \varepsilon } ^ { \mu \nu } } { \underline { n } } . { \partial _ { \mu } { \underline { n } } } \times { \partial _ { \nu } { \underline { n } } },46a0896ea4.png,260,85,256,64,4.0
"V _ { \cal { C } } ^ { - 1 } ( { \bf { r } } ) = \operatorname { e x p } \left( i g { \cal X } ^ { \alpha } ( { \bf { r } } ) { \textstyle \frac { \lambda ^ { \alpha } } { 2 } } \right) \, \operatorname { e x p } \left( \, i g { \overline { { { \cal { Y } } ^ { \alpha } } } } ( { \bf { r } } ) { \textstyle \frac { \lambda ^ { \alpha } } { 2 } } \, \right) \; .",38e30d432b.png,362,116,384,64,6.0
"T _ { 1 } ^ { N } ( K ) W ^ { K - 1 , N - K + 1 } L _ { 2 } ^ { N - K + 1 } T _ { 2 } ^ { N } ( K ) =",790e89aa79.png,101,51,320,32,10.0
\bar { t } = - { \frac { \partial F ( t ; r _ { i } ) } { \partial t } } \ .,2118102c11.png,76,28,128,64,2.0
"\begin{array} { l l } { l _ { k } ^ { \prime } = k , } & { \qquad \qquad k ^ { \prime } = 0 , } \\ { p _ { s } ^ { \prime } = s \, p _ { s - 1 } } & { \qquad \qquad \operatorname { a r c t a n } ^ { \prime } = \frac { 1 } { 1 + p _ { 2 } } , } \\ { \operatorname { e x p } ^ { \prime } = \operatorname { e x p } , } & { \qquad \qquad \operatorname { l n } ^ { \prime } = p _ { - 1 } , } \\ \end{array}",7bb819fea6.png,401,132,384,96,4.0
"H _ { | 2 } = \frac 1 { 4 l _ { p } ^ { 2 } } \int _ { \Sigma } d ^ { 3 } x \sqrt { g } G ^ { i j k l } \left[ K ^ { - 1 \bot } \left( x , x \right) _ { i j k l } + \left( \triangle _ { 2 } \right) _ { j } ^ { a } K ^ { \bot } \left( x , x \right) _ { i a k l } \right]",6bae1b66a5.png,269,98,480,64,7.5
( \Delta _ { z } - ( s + 4 ) ) \widehat { \hat { E } _ { 2 } F } = 6 ( s + 4 ) \operatorname { l o g } \parallel \Psi ( z ) \parallel ^ { 2 } + c o n s t .,5b68a0c2e7.png,155,55,384,64,6.0
"{ \frac { d s ^ { 2 } } { l _ { s } ^ { 2 } \sqrt { 4 \pi g _ { s } N } } } = \left( \rho ^ { 2 } - { \frac { b ^ { 4 } } { \rho ^ { 2 } } } \right) ^ { - 1 } d \rho ^ { 2 } + \left( \rho ^ { 2 } - { \frac { b ^ { 4 } } { \rho ^ { 2 } } } \right) d \tau ^ { 2 } + \rho ^ { 2 } \sum _ { i = 1 } ^ { 3 } d x _ { i } ^ { 2 } + d \Omega _ { 5 } ^ { 2 } ,",3bfa18c907.png,350,141,480,64,7.5
"\underline { { \Theta } } ^ { 0 } = \ell { \frac { d r } { r } } \quad , \quad \underline { { \Theta } } ^ { a } = { \frac { r } { \ell } } \underline { { \theta } } ^ { a } + { \frac { \ell } { r } } \underline { { \sigma } } ^ { a } + O ( r ^ { - 3 } ) \qquad ,",7f5643aa1d.png,263,87,384,64,6.0
"\epsilon _ { i j } = \delta _ { i j } + 4 \pi \chi _ { i j } ^ { ( e ) } = \delta _ { i j } + \Delta \epsilon _ { i j } \, ,",404911a0fb.png,124,45,224,32,7.0
