formula,image,formula_len_chars,formula_len_tokens_rough,image_width,image_height,aspect_ratio
"U _ { j } ( \underline { { p } } , \underline { { q } } ) \equiv \frac { g m _ { j } } { \sqrt { 1 6 \pi ^ { 3 } } } \frac { 1 } { p ^ { + } \sqrt { q ^ { + } } } \, , \; \; V _ { 2 s } ( \underline { { p } } , \underline { { q } } ) \equiv \frac { g } { \sqrt { 8 \pi ^ { 3 } } } \frac { \vec { \epsilon } _ { 2 s } ^ { \, * } \cdot \vec { p } _ { \perp } } { p ^ { + } \sqrt { q ^ { + } } } \, ,",3a1cb39d35.png,397,145,480,64,7.5
"\langle h _ { 2 } | \phi ^ { ( h ) } ( z ) | h _ { 1 } \rangle = \operatorname* { l i m } _ { ule { 0 mm } { 1.7 mm } u \rightarrow \infty \atop w \rightarrow 0 } u ^ { 2 h _ { 2 } } \langle 0 | \phi ^ { ( h _ { 2 } ) } ( u ) \phi ^ { ( h ) } ( z ) \phi ^ { ( h _ { 1 } ) } ( w ) | 0 \rangle = \frac { \sqrt { C _ { h _ { 2 } , h , h _ { 1 } } } } { z ^ { h + h _ { 1 } - h _ { 2 } } }",6b86a476d0.png,385,147,480,64,7.5
{ \cal L } = - 2 f _ { \phi } ^ { 2 } \operatorname { l n } ( S + S ^ { + } ) | _ { \theta ^ { 2 } \bar { \theta ^ { 2 } } } + \frac { 1 } { 2 } S W _ { j } ^ { \alpha } W _ { \alpha } ^ { j } | _ { \theta ^ { 2 } } + \frac { 1 } { 2 } S ^ { + } \overline { { W } } { } _ { j } ^ { \dot { \alpha } } \overline { { W } } { } _ { \dot { \alpha } } ^ { j } | _ { \bar { \theta } ^ { 2 } },6d47c6851c.png,385,146,480,64,7.5
- { \frac { \partial ^ { 4 } \operatorname { l n } [ P _ { \mathrm { v a c } } ( x ^ { + } ) ] } { \partial x ^ { + } \partial x ^ { - } \partial ^ { 2 } x _ { \bot } } } = { \frac { 1 } { 4 \pi } } \sum _ { n = 1 } ^ { \infty } \left( { \frac { e E ( x ^ { + } ) } { n \pi } } \right) ^ { 2 } \operatorname { e x p } \left[ - { \frac { n \pi m ^ { 2 } } { \vert e E ( x ^ { + } ) \vert } } \right] \; .,3e2458e6b3.png,403,141,480,64,7.5
| \alpha ( q ) | \; > \; \frac { 3 } { 2 } + \left\{ \begin{array} { c c l } { \displaystyle \left| \frac { w _ { i j } ( q ) a ^ { i } q ^ { j } } { \Delta ( q ) } \right| } & { \; \; \; } & { { \mathrm { i f ~ \Delta ( q ) ~ \neq ~ 0 ~ } } } \\ { \displaystyle \left( 1 + \Theta ( 1 - 2 \sqrt { | l ( q ) | } \right) \: \sqrt { | l ( q ) | } } & { } & { { \mathrm { i f ~ \Delta ( q ) = 0 ~ } } . } \\ \end{array} \right.,78fa290289.png,423,140,480,128,3.75
"\begin{array} { c } { L = { \tilde { \sigma } } \left[ 2 c \epsilon + c { \bf e ^ { \prime } } _ { 1 } ^ { 2 } + { \bf p } ( { \bf x ^ { \prime } } - { \bf e } _ { + } ) + \right. } \\ { \left. + { \bf p } _ { + } ( { \bf e ^ { \prime } } _ { + } - { \bf e } _ { 1 } ) - \sum _ { i , j } d _ { i j } ( { \bf e } _ { i } { \bf e } _ { j } - \eta _ { i j } ) \right] , } \\ \end{array}",6779b54f05.png,383,141,320,64,5.0
"S _ { \mathrm { c l } } = \mathrm { t r } \left( \hat { \bar { \sigma } } ^ { \dot { \alpha } } \bar { D } _ { \dot { \alpha } } D _ { \alpha } \hat { \sigma } ^ { \alpha } \right) + \mathrm { t r } \left( { \hat { \bar { \sigma } } } ^ { \dot { \alpha } } \bar { D } _ { \dot { \alpha } } \left( e ^ { - V } - 1 \right) D _ { \alpha } { \hat { \sigma } } ^ { \alpha } \right) \, .",1431fb9459.png,381,117,384,64,6.0
"{ \bigl < t _ { \eta , v } ^ { ( \rho ) } ; t _ { \theta , w } ^ { ( \sigma ) } \bigr > } _ { L ^ { 2 } } = \int _ { G } \overline { { t _ { \eta , v } ^ { ( \rho ) } ( g ) } } \cdot t _ { \theta , w } ^ { ( \sigma ) } ( g ) \, d g = \frac { 1 } { \operatorname { d i m } V _ { \rho } } \delta _ { \rho \sigma } \overline { { \left< \eta ; \theta \right> } } \left< v ; w \right> ,",35e1c480c1.png,381,128,480,64,7.5
"\mid { P } _ { 0 } \rangle \: = \: { \mathbf O ^ { - 1 } } \mid \tilde { P } _ { 0 } \rangle \: = \: \operatorname { e x p } \left( { \cal W } _ { \nu \rho } ^ { \mu \sigma } { \mathbf a } ^ { \nu } { \mathbf b } _ { \mu } { \mathbf a } ^ { \rho } { \mathbf b } _ { \sigma } \right) \prod _ { \alpha = 0 } ^ { 3 } \, { \mathbf a } _ { \alpha } ^ { \dagger } \prod _ { \beta = 0 } ^ { 3 } \, { \mathbf b } ^ { \dagger \beta } \, \mid 0 \rangle .",41f187d0ca.png,444,138,480,64,7.5
\mathcal { B } = * B ^ { A } \left[ \begin{array} { c } { v _ { A } } \\ { \overline { { v } } _ { A } } \\ \end{array} \right] - i B ^ { A } \left[ \begin{array} { c } { v _ { A } } \\ { - \overline { { v } } _ { A } } \\ \end{array} \right] + b ^ { \alpha } \left[ \begin{array} { c } { e _ { \alpha } } \\ { \overline { { e } } _ { \alpha } } \\ \end{array} \right] + i * b ^ { \alpha } \left[ \begin{array} { c } { e _ { \alpha } } \\ { - \overline { { e } } _ { \alpha } } \\ \end{array} \right],6239e281b0.png,500,146,480,64,7.5
"( f \star g ) ( \tilde { \bf r } ) = \frac { 1 } { ( 2 \pi ) ^ { 2 } } \sum _ { P ^ { \prime } , P ^ { \prime \prime } } \int _ { - \pi } ^ { + \pi } d \theta ^ { \prime } d \theta ^ { \prime \prime } e ^ { [ - 2 i A ( \tilde { \bf r } , \tilde { \bf r } ^ { \prime } , \tilde { \bf r } ^ { \prime \prime } ) ] } f ( \tilde { \bf r } ^ { \prime } ) g ( \tilde { \bf r ^ { \prime \prime } } )",65ede267a4.png,391,130,480,64,7.5
"{ \cal L } _ { f e r m i o n } ~ = ~ \bar { \psi } ~ \left[ i \gamma ^ { \mu } ~ \left( \partial _ { \mu } ~ - ~ \sigma ^ { \rho \beta } v _ { \rho } ^ { \nu } g _ { \lambda \nu } \partial _ { \mu } v _ { \beta } ^ { \lambda } ~ - ~ g _ { \alpha \delta } \sigma ^ { a b } v _ { a } ^ { \beta } v _ { b } ^ { \delta } \tilde { \Gamma } ^ { \alpha } \, _ { \mu \beta } \right) \right] ~ \psi",51f9c28bf7.png,389,125,480,64,7.5
\phi ^ { 4 } = \left( \begin{array} { c c c c } { k ^ { 1 } t \otimes 1 _ { N _ { 1 } \times N _ { 1 } } } & { 0 } & { \dots } & { 0 } \\ { 0 } & { k ^ { 2 } t \otimes 1 _ { N _ { 2 } \times N _ { 2 } } } & { \dots } & { 0 } \\ { \dots } & { \dots } & { \dots } & { \dots } \\ { 0 } & { \dots } & { \dots } & { k ^ { K } t \otimes 1 _ { N _ { K } \times N _ { K } } } \\ \end{array} \right),595c41caf7.png,390,143,480,128,3.75
\begin{array} { c c } { \sigma _ { z } = \left( \begin{array} { l l } { 1 } & { 0 } \\ { 0 } & { 0 } \\ \end{array} \right) } & { \sigma _ { \bar { z } } = \left( \begin{array} { l l } { 0 } & { 0 } \\ { 0 } & { 1 } \\ \end{array} \right) } \\ { \sigma _ { y } = \left( \begin{array} { l l } { 0 } & { 0 } \\ { i } & { 0 } \\ \end{array} \right) } & { \sigma _ { \bar { y } } = \left( \begin{array} { l l } { 0 } & { i } \\ { 0 } & { 0 } \\ \end{array} \right) } \\ \end{array},6feea80c20.png,477,144,480,160,3.0
\beta _ { k 0 } ( t \to \infty ) = \sqrt { \frac { \omega _ { k } } { \tilde { \omega } } } \frac { ( \tilde { \omega } - \omega _ { k } ) ( 2 \omega _ { k } ^ { 2 } - 2 \tilde { \omega } ^ { 2 } + i \pi g \omega _ { k } ) } { \left[ 4 \left( \omega _ { k } ^ { 2 } - \tilde { \omega } ^ { 2 } \right) ^ { 2 } + \pi ^ { 2 } g ^ { 2 } \omega _ { k } ^ { 2 } \right] } \sqrt { g \Delta \omega } \mathrm { e } ^ { i \omega _ { k } t } \; .,d826ebf34f.png,436,146,480,64,7.5
"\hat { S } _ { \lambda \lambda ^ { \prime } } = \left[ \nabla _ { \lambda } \; , \; \nabla _ { \lambda ^ { \prime } } \right] \hat { 1 } + \frac { 1 } { 2 } \left( \nabla _ { \lambda } \hat { E } _ { \lambda ^ { \prime } } - \nabla _ { \lambda ^ { \prime } } \hat { E } _ { \lambda } \right) + \frac { 1 } { 4 } \left( \hat { E } _ { \lambda } \hat { E } _ { \lambda ^ { \prime } } - \hat { E } _ { \lambda ^ { \prime } } \hat { E } _ { \lambda } \right)",4c5d90f40f.png,454,133,480,64,7.5
"\begin{array} { c } { \{ Q ^ { a \alpha } , \bar { Q } _ { b \beta } \} = 2 \delta ^ { a } { } _ { b } \gamma ^ { \mu } { } ^ { \alpha } { } _ { \beta } P _ { \mu } \, , } \\ { { } } \\ { { } [ M _ { \mu \nu } , Q ^ { a } ] = i \textstyle { \frac { 1 } { 2 } } \gamma _ { [ \mu } \gamma _ { \nu ] } Q ^ { a } \, , } \\ { { } } \\ { { } [ { P } _ { \mu } , Q ^ { a \alpha } ] = 0 \, . } \\ \end{array}",322d62b67a.png,400,148,480,128,3.75
S = \int d ^ { 4 } x \sqrt { \hat { g } _ { 4 } } \Bigl \{ \hat { R } _ { 4 } + \frac { 2 \hat { \nabla } _ { \mu } { \cal A } \hat { \nabla } ^ { \mu } { \cal A } ^ { \dagger } } { ( { \cal A } - { \cal A } ^ { \dagger } ) ^ { 2 } } + \frac { 1 } { 8 } T r \bigl ( l \hat { \nabla } m \bigr ) ^ { 2 } - \frac { Q ^ { 2 } } { 2 } \frac { e ^ { \Phi _ { 4 } } } { b ^ { 6 } } \Bigr \},29d4f98d7a.png,383,141,480,64,7.5
"\Bigl ( \prod _ { ( j , \kappa ) \in \Lambda ^ { 1 } } \sum _ { a _ { j \kappa } , b _ { j \kappa } } \Bigr ) = \underbrace { \sum _ { a _ { j \kappa } , b _ { j \kappa } = 1 } ^ { \operatorname { d i m } V _ { \tau _ { j \kappa } } } \cdots \sum _ { a _ { j \kappa } , b _ { j \kappa } = 1 } ^ { \operatorname { d i m } V _ { \tau _ { j \kappa } } } } _ { \mathrm { o n e ~ \sum ~ f o r ~ e a c h ~ l i n k } } .",36b3be7c75.png,413,143,384,96,4.0
"\gamma _ { \alpha \beta } ^ { 0 } = \left( \begin{array} { c c } { 1 } & { 0 } \\ { 0 } & { 1 } \\ \end{array} \right) \, , \quad \gamma _ { \alpha \beta } ^ { 1 } = \left( \begin{array} { c c } { 0 } & { 1 } \\ { 1 } & { 0 } \\ \end{array} \right) \, , \quad \gamma _ { \alpha \beta } ^ { 2 } = \left( \begin{array} { c c } { - 1 } & { 0 } \\ { 0 } & { 1 } \\ \end{array} \right) \, .",3f0c59469b.png,385,114,480,64,7.5
"\overline { { G } } _ { \sigma } ^ { ( n ) } ( \zeta ^ { \prime } , x ^ { 2 } \zeta _ { 2 n } ) ^ { \varepsilon ^ { \prime } \, \varepsilon _ { 2 n } } = \sigma \overline { { G } } _ { \sigma } ^ { ( n ) } ( \zeta _ { 2 n } , \zeta ^ { \prime } ) ^ { \varepsilon _ { 2 n } \, \varepsilon ^ { \prime } } \prod _ { j = 1 } ^ { 2 n - 1 } \frac { \zeta _ { 2 n } } { \zeta _ { j } } .",26c0b29bd1.png,380,128,384,64,6.0
"{ \cal L } = \frac { 1 } { 2 } \left\{ \partial _ { \mu } \varphi _ { i } \, \partial ^ { \mu } \varphi _ { i } + i \bar { \psi } _ { i } \gamma ^ { \mu } \partial _ { \mu } \psi _ { i } + f _ { i } f _ { i } + 2 f _ { i } \, \frac { \partial { W } } { \partial \varphi _ { i } } - \frac { \partial ^ { 2 } { W } } { \partial \varphi _ { i } \partial \varphi _ { j } } \, \bar { \psi } _ { i } \psi _ { j } \right\} \; .",28ae0eeb67.png,420,136,480,64,7.5
"- e _ { \mu \nu \rho \omega } \left( \varepsilon ^ { \widetilde { \omega } , \rho } - \varepsilon ^ { \rho , \widetilde { \omega } } \right) - \varepsilon ^ { 0 , [ \mu \nu ] } + \varepsilon ^ { [ \mu \nu ] , 0 } - \frac { 1 } { 2 } e _ { \mu \nu \rho \omega } \left( \varepsilon ^ { \widetilde { 0 } , [ \rho \omega ] } - \varepsilon ^ { [ \rho \omega ] , \widetilde { 0 } } \right) ,",41cc190473.png,385,100,480,64,7.5
"\frac { \delta { \cal W } } { \delta \psi ^ { \alpha } } = \frac { \delta \Gamma } { \delta \psi ^ { \alpha } } \, , \; \; \; \frac { \delta { \cal W } } { \delta \phi _ { A a } ^ { * } } = \frac { \delta \Gamma } { \delta \phi _ { A a } ^ { * } } \, , \; \; \; \frac { \delta { \cal W } } { \delta \bar { \phi } _ { A } } = \frac { \delta \Gamma } { \delta \bar { \phi } _ { A } } \, ,",4fdba4e24e.png,386,118,384,64,6.0
"O _ { F } = \left( \begin{array} { c c } { - \frac { d ^ { 2 } } { d z ^ { 2 } } + \frac { \partial ^ { 2 } } { \partial \phi ^ { 2 } } V } & { \frac { \partial ^ { 2 } } { \partial \chi \partial \phi } V } \\ { \frac { \partial ^ { 2 } } { \partial \phi \partial \chi } V } & { - \frac { d ^ { 2 } } { d z ^ { 2 } } + \frac { \partial ^ { 2 } } { \partial \chi ^ { 2 } } V } \\ \end{array} \right) _ { \vert \phi = \phi ( z ) , \chi = \chi ( z ) }",3f82c2aaf5.png,448,143,384,64,6.0
A _ { \mu } ^ { \mu ^ { \prime } } A _ { \nu } ^ { \nu ^ { \prime } } ( \delta _ { \mu ^ { \prime } } ^ { \lambda ^ { \prime } } \delta _ { \nu ^ { \prime } } ^ { \rho ^ { \prime } } - { \bar { B ^ { \prime } } } _ { \mu ^ { \prime } \nu ^ { \prime } } ^ { \lambda ^ { \prime } \rho ^ { \prime } } ) \frac { \partial { \bar { g } ^ { \prime } } _ { \lambda ^ { \prime } \rho ^ { \prime } } } { \partial l _ { i } },200a39f786.png,414,134,224,64,3.5
"J _ { \nu } ^ { ( I ) } ( x ) \; \longleftrightarrow \; \left\{ \begin{array} { l l } { - \frac { 1 } { \sqrt { \pi + g N } } \; \varepsilon _ { \mu \nu } \partial _ { \mu } \Phi ^ { ( 1 ) } ( x ) \; \; \; \; \; \; } & { I = 1 } \\ { \; } & { \; } \\ { - \frac { 1 } { \sqrt { \pi } } \; \varepsilon _ { \mu \nu } \partial _ { \mu } \Phi ^ { ( I ) } ( x ) \; \; \; \; \; \; } & { I = 2 , \; . . . \; N \; . } \\ \end{array} \right.",1ff9919531.png,431,141,480,128,3.75
S _ { + } ( \eta ) = \left( \begin{array} { l l l l } { \operatorname { c o s h } \eta } & { \operatorname { s i n h } \eta } & { 0 } & { 0 } \\ { \operatorname { s i n h } \eta } & { \operatorname { c o s h } \eta } & { 0 } & { 0 } \\ { 0 } & { 0 } & { \operatorname { c o s h } \eta } & { \operatorname { s i n h } \eta } \\ { 0 } & { 0 } & { \operatorname { s i n h } \eta } & { \operatorname { c o s h } \eta } \\ \end{array} \right) .,769e022aac.png,439,140,384,96,4.0
P ^ { \mathrm { \scriptsize { p } } } \: P ^ { \mathrm { \scriptsize { s e a } } } \; = \; 0 \; = \; P ^ { \mathrm { \scriptsize { s e a } } } \: P ^ { \mathrm { \scriptsize { p } } } \; \; \; \; \; { \mathrm { a n d } } \; \; \; \; \; P ^ { \mathrm { \scriptsize { a } } } \: P ^ { \mathrm { \scriptsize { s e a } } } \; = \; P ^ { \mathrm { \scriptsize { a } } } \; = \; P ^ { \mathrm { \scriptsize { s e a } } } \: P ^ { \mathrm { \scriptsize { a } } } \; .,5f241ecf21.png,460,144,480,32,15.0
"\left\{ b _ { \underline { { n } } \sigma } , b _ { \underline { { n } } \sigma } ^ { \dagger } \right\} = \delta _ { \underline { { n } } ^ { \prime } \underline { { n } } } \delta _ { \sigma ^ { \prime } \sigma } \, , \; \; \left[ a _ { \underline { { n } } } , a _ { \underline { { n } } } ^ { \dagger } \right] = \delta _ { \underline { { n } } ^ { \prime } \underline { { n } } } \, .",124d1898f3.png,389,114,320,64,5.0
\begin{array} { c } { \nabla { \bf K } = \frac 1 { \sqrt { 2 \epsilon } } \{ \left( - \frac 1 { \sqrt { 2 \epsilon } } { \bf K } + \frac 1 { 2 \epsilon } { \bf M } _ { 1 } \right) \left( \vec { R } - i \frac 1 2 \vec { \Gamma } \right) + \frac 1 { 2 \Gamma } { \bf M } _ { 2 } \vec { \Gamma } } \\ { + i \frac 1 { \Gamma \left( \epsilon ^ { 2 } - \eta ^ { 2 } \right) } \frac { \xi ^ { * } } { \left| \xi \right| } M _ { 3 } \left( \vec { \Gamma } \times \vec { R } \right) \} } \\ \end{array},62a3c6939c.png,493,142,384,64,6.0
"X _ { z _ { \pm } } = - i Q _ { \pm } ^ { - 1 } \displaystyle \displaystyle \frac { \partial } { \partial \overline { { z } } _ { \pm } } ~ , ~ ~ ~ X _ { p _ { \pm } } = i \displaystyle \displaystyle \frac { \partial } { \partial z _ { \pm } } - i Q _ { \pm } ^ { - 1 } \displaystyle \frac { \partial p _ { \pm } } { \partial z _ { \pm } } \displaystyle \displaystyle \frac { \partial } { \partial \overline { { z } } _ { \pm } } ~ ,",1f5f10d271.png,433,122,384,64,6.0
"\delta _ { \hat { \chi } } \hat { L } _ { \hat { \mu } _ { 1 } \ldots \hat { \mu } _ { r } } = m \hat { \lambda } _ { \hat { \mu } _ { 1 } } \hat { k } ^ { \hat { \nu } } \hat { L } _ { \hat { \nu } \hat { \mu } _ { 2 } \ldots \hat { \mu } _ { r } } + \ldots + m \hat { \lambda } _ { \hat { \mu } _ { r } } \hat { k } ^ { \hat { \nu } } \hat { L } _ { \hat { \mu } _ { 1 } \ldots \hat { \mu } _ { r - 1 } \hat { \nu } } \, .",5bb17b7b55.png,424,150,480,32,15.0
"\begin{array} { c c c } { s A _ { \mu } = - D _ { \mu } c \; , } & { s c = c ^ { 2 } \; , } & { s \phi = \left[ c , \phi \right] \; , } \\ { s \psi _ { \mu } = \left\{ c , \psi _ { \mu } \right\} \; , } & { s \chi _ { \mu \nu } = \left\{ c , \chi _ { \mu \nu } \right\} \; , } & { s \eta = \left\{ c , \eta \right\} \; , } \\ { s \overline { { \phi } } = \left[ c , \overline { { \phi } } \right] \; , } & { } & { } \\ \end{array}",5604f212f6.png,430,138,384,96,4.0
\frac { d ^ { 2 } } { d t ^ { 2 } } \frac { \partial L } { \partial \ddot { h } } + \nabla ^ { 2 } \frac { \partial L } { \partial \nabla ^ { 2 } h } - \frac { d } { d t } \nabla ^ { 2 } \frac { \partial L } { \partial \nabla ^ { 2 } \dot { h } } - \frac { d } { d t } \frac { \partial L } { \partial \dot { h } } - \nabla \frac { \partial L } { \partial \nabla h } + \frac { \partial L } { \partial h } = 0 \quad .,4f88745dbd.png,415,126,480,64,7.5
"\mathrm { ~ \cal { A } ~ } ( { \mathbf { u } } ) = \int d ^ { 1 + n } x \frac { ( 1 + { \mathbf { u } } ^ { \dag } { \mathbf { u } } ) \partial ^ { \mu } { \mathbf { u } } ^ { \dag } \partial _ { \mu } { \mathbf { u } } - \partial ^ { \mu } { \mathbf { u } } ^ { \dag } { \mathbf { u } } { \mathbf { u } } ^ { \dag } \partial _ { \mu } { \mathbf { u } } } { ( 1 + { \mathbf { u } } ^ { \dag } { \mathbf { u } } ) ^ { 2 } } ,",3f74782cfd.png,424,146,384,64,6.0
\frac { 2 } { r } ( f ^ { ' } \operatorname { c o s } 2 \theta \frac { \partial I ^ { 2 } } { \partial \theta } + 2 f \operatorname { s i n } 2 \theta \frac { \partial I ^ { 2 } } { \partial r } - f ^ { ' } \operatorname { s i n } 2 \theta \frac { \partial I ^ { 1 } } { \partial \theta } + 2 f \operatorname { c o s } 2 \theta \frac { \partial I ^ { 1 } } { \partial r } ) \nonumber,27381773ca.png,383,111,480,64,7.5
"\sum _ { \rho + \Lambda _ { i } \in { \cal F } _ { l } } S _ { \beta \rho + \Lambda _ { i } } { \cal U } _ { \rho + \Lambda _ { i } \, \rho } ^ { ( p _ { i } , q _ { i } ) } = \operatorname { e x p } \biggl ( { \frac { \pi i k d } { 4 l } } \mathrm { s i g n } \Bigl ( { \frac { q _ { i } } { p _ { i } } } \Bigr ) \biggr ) { \cal U } _ { \beta \rho } ^ { ( - q _ { i } , p _ { i } ) } ,",3cfcb64ad9.png,387,143,384,64,6.0
"\Bigl [ \prod _ { a } \Delta ^ { 2 } ( \varphi _ { a } ) \Bigr ] \, \times \, \operatorname { e x p } \Bigl \{ - { \frac { 1 } { 4 } } { \frac { N } { L } } \Bigl ( \sum _ { l = 1 } ^ { L - 1 } { \frac { 1 } { \operatorname { s i n } ^ { 2 } { \frac { \pi l } { L } } } } + { \frac { 1 } { 1 2 } } \Bigr ) \sum _ { a , \alpha } \varphi _ { a , \alpha } ^ { 2 } + O ( \varphi ^ { 4 } ) \Bigr \} ~ ~ .",4cb25d8de8.png,399,139,480,64,7.5
"\begin{array} { l } { \partial _ { \tau } X ^ { 2 } ( 0 ) = \partial _ { \sigma } X ^ { 1 } ( 0 ) = 0 , } \\ { \partial _ { \tau } X ^ { 1 } ( \pi ) + \partial _ { \tau } X ^ { 2 } ( \pi ) \operatorname { c o t } ( \pi \vartheta ) = 0 , } \\ { \partial _ { \sigma } X ^ { 2 } ( \pi ) - \partial _ { \sigma } X ^ { 1 } ( \pi ) \operatorname { c o t } ( \pi \vartheta ) = 0 , } \\ \end{array}",2de7f275f4.png,390,124,384,96,4.0
"g = \left( \begin{array} { c c } { 1 } & { 0 } \\ { b } & { 1 } \\ \end{array} \right) \, \left( \begin{array} { c c } { e ^ { a / 2 } } & { 0 } \\ { 0 } & { e ^ { - a / 2 } } \\ \end{array} \right) \, \left( \begin{array} { r r } { \operatorname { c o s } \theta } & { \operatorname { s i n } \theta } \\ { - \operatorname { s i n } \theta } & { \operatorname { c o s } \theta } \\ \end{array} \right) \, ,",43e24e4c88.png,407,116,384,64,6.0
"{ \bf \Omega } _ { { \bf x } , { \bf x ^ { \prime } } } = m ^ { 2 } \delta _ { { \bf x } , { \bf x ^ { \prime } } } - { \frac { 1 } { \sigma ^ { 2 } } } \sum _ { i = 1 } ^ { 3 } \left( \delta _ { { \bf x } + \hat { \sigma } \left( i \right) , { \bf x ^ { \prime } } } - 2 \delta _ { { \bf x } , { \bf x ^ { \prime } } } + \delta _ { { \bf x } - \hat { \sigma } \left( i \right) , { \bf x ^ { \prime } } } \right) .",7661c8edfd.png,414,141,480,64,7.5
"[ \tilde { C } ^ { 2 } ] ~ ~ ~ ~ ~ W = { \frac { 1 } { 2 } } \operatorname { s i n } { 3 \tilde { \theta } } + \operatorname { s i n } { \tilde { \theta } } ( { \frac { 1 } { 2 } } - 4 \tilde { k } ^ { 2 } \tilde { \gamma } ^ { 2 } ) - 2 \tilde { k } \tilde { \gamma } \operatorname { c o s } { \tilde { \theta } } - 4 8 \tilde { k } ^ { 3 } t \operatorname { c o s } { \tilde { \theta } } ~ ~ ,",40b4b6cae7.png,395,130,480,64,7.5
\vec { A _ { 1 } } = \left( \begin{array} { c } { x } \\ { 0 } \\ { 0 } \\ \end{array} \right) \; \; \; \; \vec { A _ { 2 } } = \left( \begin{array} { c } { 0 } \\ { x } \\ { 0 } \\ \end{array} \right) \; \; \; \; \vec { \phi } = \left( \begin{array} { c } { - x } \\ { x } \\ { 0 } \\ \end{array} \right) \; \; \; \; \dot { \vec { \phi } } = \frac { 1 } { 2 } \left( \begin{array} { c } { x } \\ { x } \\ { 0 } \\ \end{array} \right) .,6c0033531c.png,436,128,480,128,3.75
"\left\{ \begin{array} { r c l } { \mathrm { d i v } { \bf B } } & { = } & { 0 } \\ { \mathrm { d i v } { \bf D } } & { = } & { 0 } \\ \end{array} \right. \quad , \qquad \left\{ \begin{array} { r c l } { \phantom { - } \partial _ { 0 } \, { \bf B } { } + { } \mathrm { r o t } { \bf E } } & { = } & { 0 } \\ { - \partial _ { 0 } \, { \bf D } { } + { } \mathrm { r o t } { \bf H } } & { = } & { 0 } \\ \end{array} \right. \quad ,",ae02ccd288.png,427,142,384,64,6.0
"T _ { \alpha } , \quad G _ { a } = \frac { 1 } { 1 2 } \sigma _ { a } ^ { \alpha \dot { \beta } } ( R _ { \, \, \dot { \beta } \alpha \gamma } ^ { \gamma } + R _ { \, \, \alpha \dot { \beta } \dot { \gamma } } ^ { \dot { \gamma } } ) , \quad W _ { \alpha \beta \gamma } = \sigma _ { ( \alpha \dot { \delta } } ^ { a } \sigma _ { \beta } ^ { b \dot { \delta } } T _ { a b \gamma ) }",57bd55fc61.png,381,120,480,64,7.5
\partial _ { t } ^ { 2 } \left( \begin{array} { c } { \varphi } \\ { { \pi _ { \chi } / \kappa } } \\ \end{array} \right) = \left( \begin{array} { c c } { \nabla ^ { 2 } - \mu ^ { 2 } - { \frac { \kappa ^ { 2 } } { 2 } } } & { \kappa ^ { 2 } } \\ { \mu ^ { 2 } + { \frac { \kappa ^ { 2 } } { 4 } } } & { \nabla ^ { 2 } - \mu ^ { 2 } - { \frac { \kappa ^ { 2 } } { 2 } } } \\ \end{array} \right) \left( \begin{array} { c } { \varphi } \\ { { \pi _ { \chi } / \kappa } } \\ \end{array} \right),5dc477aa86.png,491,150,480,64,7.5
"( \sigma _ { 0 } ) _ { \alpha \beta } = \left( \begin{array} { c c } { 1 } & { 0 } \\ { 0 } & { 1 } \\ \end{array} \right) \, \quad ( \sigma _ { 1 } ) _ { \alpha \beta } = \left( \begin{array} { c c } { 1 } & { 0 } \\ { 0 } & { - 1 } \\ \end{array} \right) \, \quad ( \sigma _ { 2 } ) _ { \alpha \beta } = \left( \begin{array} { c c } { 0 } & { 1 } \\ { 1 } & { 0 } \\ \end{array} \right)",321718e06c.png,388,116,480,64,7.5
"\left( \begin{array} { l l } { 0 } & { 1 } \\ { 1 } & { 0 } \\ \end{array} \right) \left( \begin{array} { l } { 1 } \\ { \epsilon } \\ \end{array} \right) = \epsilon \left( \begin{array} { l } { 1 } \\ { \epsilon } \\ \end{array} \right) , \quad \left( \begin{array} { l l } { 1 } & { 0 } \\ { 0 } & { - 1 } \\ \end{array} \right) \left( \begin{array} { l } { 1 } \\ { \epsilon } \\ \end{array} \right) = \left( \begin{array} { l } { 1 } \\ { - \epsilon } \\ \end{array} \right) .",6f53b503b1.png,480,116,384,64,6.0
"\left( \begin{array} { c } { \theta ^ { 1 } } \\ { \theta ^ { 2 } } \\ \end{array} \right) \Rightarrow \left( \begin{array} { c } { \tilde { \theta } ^ { 1 } } \\ { \tilde { \theta } ^ { 2 } } \\ \end{array} \right) = \left( \begin{array} { c c } { \operatorname { c o s } \alpha } & { \operatorname { s i n } \alpha } \\ { - \operatorname { s i n } \alpha } & { \operatorname { c o s } \alpha } \\ \end{array} \right) \; \left( \begin{array} { c } { \theta ^ { 1 } } \\ { \theta ^ { 2 } } \\ \end{array} \right) \; ,",37481d3d76.png,517,129,384,64,6.0
"D _ { 2 } \pi ^ { \alpha _ { 1 } } = \frac 1 2 C _ { \; \; \beta _ { 1 } \gamma _ { 1 } } ^ { \alpha _ { 1 } } \pi ^ { \beta _ { 1 } } \eta _ { 2 } ^ { \gamma _ { 1 } } + \frac 1 2 C _ { \; \; \beta _ { 1 } \gamma _ { 3 } } ^ { \alpha _ { 1 } } \left( \pi ^ { \beta _ { 1 } } \eta _ { 2 } ^ { \gamma _ { 3 } } - \eta _ { 2 } ^ { \beta _ { 1 } } \pi ^ { \gamma _ { 3 } } \right) ,",58e302185d.png,379,140,384,64,6.0
